table,id_or_sku,model_or_name,imei,serial_number,storage,color,status,is_deleted,source,issue,cost_price,target_or_sale_price,corrected_cost_price,corrected_sale_price
phones,p1778096327383,iPhone 12,358447315395484,,64GB,Green,sold,false,purchased,cost_price=0,0,69000,,
phones,p1778096429283,iPhone 14,353917856862386,,128GB,Black,sold,false,purchased,cost_price=0,0,120000,,
phones,p1778096085969,iPhone 11,356460905257974,,128GB,White,sold,false,purchased,cost_price=0,0,69000,,
phones,p1778096007510,iPhone 11,356551104592607,,128GB,Purple,sold,false,purchased,cost_price=0,0,69000,,
phones,p1778096211359,iPhone X,354840093218197,,256GB,Silver,sold,false,purchased,cost_price=0,0,49000,,
phones,p1778096147622,iPhone 13,351123623286593,,128GB,Pink,sold,false,purchased,cost_price=0,0,99000,,
phones,p1778097845027,iPhone 7 Plus,353840080449343,,256GB,Red,sold,false,purchased,cost_price=0,0,28000,,
phones,p1778097080324,iPhone 11 Pro,353238107712548,,256GB,Black,sold,false,purchased,cost_price=0,0,79000,,
phones,p1778098590253,iPhone 15 Plus,890490320072088,,128GB,Blue,in-stock,true,purchased,cost_price=0,0,157000,,
phones,p1778099333873,iPhone 14,355313404385773,,256GB,White,sold,false,purchased,cost_price=0,0,129000,,
phones,p1778097338922,iPhone 12 Pro,356686117983094,,128GB,Black,in-stock,true,purchased,cost_price=0,0,98000,,
phones,p1778097408935,iPhone XS,357230091742223,,64GB,Gold,sold,false,purchased,cost_price=0,0,49000,,
phones,p1778097974223,iPhone 13 Pro,352725351350802,,128GB,Gold,sold,false,purchased,cost_price=0,0,129000,,
phones,p1778098207848,iPhone 13 Pro,358823349874761,,512GB,Gold,sold,false,purchased,cost_price=0,0,138000,,
phones,p1778098748933,iPhone 15 Plus,357681610825388,,128GB,Blue,sold,false,purchased,cost_price=0,0,158000,,
phones,p1778097509628,iPhone 11 Pro,353243107036492,,64GB,Gold,sold,false,purchased,cost_price=0,0,65000,,
phones,p1778097286253,iPhone 13,355611224164140,,128GB,Black,sold,false,purchased,cost_price=0,0,88000,,
phones,p1778099532429,iPhone 12 mini,359508532503041,,128GB,White,sold,false,purchased,cost_price=0,0,70000,,
phones,p1778099385730,iPhone 12,353050119856878,,128GB,Black,sold,false,purchased,cost_price=0,0,79000,,
phones,p1778096680052,iPhone 11,352910118359045,,128GB,Black,sold,false,purchased,cost_price=0,0,59000,,
phones,p1778097028572,iPhone XR,357358095987732,,128GB,Black,sold,false,purchased,cost_price=0,0,44000,,
phones,p1778096910374,iPhone XS Max,357264090807018,,256GB,Black,sold,false,purchased,cost_price=0,0,59000,,
phones,p1778098440374,iPhone 12 Pro Max,356717111383823,,256GB,Blue,sold,false,purchased,cost_price=0,0,124000,,
phones,p1778098055846,iPhone 13 Pro,354509712853185,,256GB,Black,sold,false,purchased,cost_price=0,0,133000,,
phones,p1778098152722,iPhone 12 Pro Max,356714119974117,,256GB,Black,sold,false,purchased,cost_price=0,0,124000,,
phones,p1778099259693,iPhone 15 Pro,356597922883975,,128GB,Silver,sold,false,returned,target_sale_price=0,183000,0,,
phones,p1778097903729,iPhone 12 Pro,350320099929778,,512GB,Silver,sold,false,purchased,cost_price=0,0,108000,,
phones,p1778096469685,iPhone 13,358239127667444,,256GB,Black,sold,false,purchased,cost_price=0,0,105000,,
phones,p1778097613094,iPhone 12 Pro,355942855985762,,128GB,Blue,sold,false,purchased,cost_price=0,0,98000,,
phones,p1778097717420,iPhone 12 Pro,356689114555758,,128GB,Gold,sold,false,purchased,cost_price=0,0,98000,,
phones,p1778097791504,iPhone 12 Pro,354523336977684,,128GB,Black,in-stock,true,purchased,cost_price=0,0,98000,,
phones,p1778096846406,iPhone XS Max,357299099284678,,256GB,White,sold,false,purchased,cost_price=0,0,59000,,
phones,p1778099452691,iPhone 13 Pro,356144899765719,,128GB,Gold,in-stock,true,purchased,cost_price=0,0,129000,,
phones,p1778099084106,iPhone 12 mini,354000345698254,,128GB,Black,sold,false,returned,target_sale_price=0,62000,0,,
phones,p1778099210139,iPhone 14 Pro Max,352301458620297,,128GB,Silver,sold,false,purchased,cost_price=0,0,184000,,
phones,p1778097225677,iPhone X,354856095556004,,256GB,Silver,sold,false,purchased,cost_price=0,0,49000,,
phones,p1778096630147,iPhone 11,350308221355533,,128GB,Black,sold,false,purchased,cost_price=0,0,59000,,
phones,p1778097679184,iPhone XS,357237090985679,,256GB,Silver,in-stock,true,purchased,cost_price=0,0,55000,,
phones,p1778098524875,iPhone SE (3rd Gen),350158423590134,,64GB,Black,sold,false,purchased,cost_price=0,0,38000,,
phones,p1778098356986,iPhone 12 Pro Max,356194444049960,,128GB,Black,sold,false,purchased,cost_price=0,0,114000,,
phones,p1778098101076,iPhone 14 Pro Max,358795284345660,,128GB,Gold,sold,false,purchased,cost_price=0,0,184000,,
phones,p1778100027593,SOFTLOGIC MAX 333,350329760141167,,64GB,Black,in-stock,false,purchased,cost_price=0,0,7900,,
phones,p1778099659570,iPhone 13 Pro,354980618240043,,256GB,Silver,sold,false,purchased,cost_price=0,0,133000,,
phones,p1778232283585,iPhone 12,353010112612231,,N/A,N/A,in-stock,true,trade-in,target_sale_price=0,60000,0,,
phones,p1778234873985,iPhone 12 Mini,353010119583393,,128GB,Red,sold,false,purchased,cost_price=0,0,69000,,
phones,p1778328982874,iPhone SE (3rd Gen),356473103082532,,N/A,N/A,in-stock,true,trade-in,target_sale_price=0,33000,0,,
phones,p1778141762413,iPhone 12 Pro Max,356717118192508,,256GB,Gold,sold,false,purchased,cost_price=0,0,124000,,
phones,p1778397775034,iPhone 14 Pro Max,351643930481157,,256GB,Deep Purple,sold,false,purchased,cost_price=0,0,205000,,
phones,p1778400553221,iPhone 15,359867884679134,,128GB,Blue,sold,false,purchased,cost_price=0,0,220000,,
phones,p1778134929724,iPhone 11,353981109562524,,128GB,Green,sold,false,purchased,cost_price=0,0,69000,,
phones,p1778099801281,iPhone XS,357225097882197,,256GB,Gold,sold,false,purchased,cost_price=0,0,55000,,
phones,p1778331848678,iPhone Se 2,356473103021977,,128GB,Black,sold,false,purchased,cost_price=0,0,40000,,
phones,p1778508725535,iPhone 13,35189360048793,,256GB,Pink,in-stock,true,returned,target_sale_price=0,82000,0,,
phones,p1778508963949,iPhone 13,351467537445492,,128GB,White,sold,false,purchased,cost_price=0,0,99000,,
phones,p1778099761528,iPhone 12 Pro,350522070532071,,256GB,Black,sold,false,purchased,cost_price=0,0,104000,,
phones,p1778508848936,iPhone 12,352704136788123,,128GB,White,sold,false,purchased,cost_price=0,0,79000,,
phones,p1778509167927,iPhone 15,355700850363595,,128GB,Pink,sold,false,purchased,cost_price=0,0,160000,,
phones,p1778306570084,SOFTLOGIC NOKIA 105,357042516750701,,64GB,Black,sold,false,purchased,cost_price=0,0,6000,,
phones,p1778498664599,iPhone 15,357205923843084,,128GB,Black,sold,false,purchased,cost_price=0,0,220000,,
phones,p1778498786413,iPhone X,359410083491280,,256GB,Black,sold,false,purchased,cost_price=0,0,49000,,
phones,p1778498886317,iPhone X,353053098791041,,256GB,Silver,sold,false,purchased,cost_price=0,0,49000,,
phones,p1778099890776,Nokia 110 HMD,353568749086871,,128GB,Black,sold,false,purchased,cost_price=0,0,6900,,
phones,p1778387473740,iPhone 11,356580105304639,,128GB,White,sold,false,purchased,cost_price=0,0,69000,,
phones,p1778099980583,Samsung Galaxy F07,351441603189763,,64GB,Black,sold,false,purchased,cost_price=0,0,39000,,
